Post,1Comment,2Comment
I feel like I’m a burden to everybody  bothering people with my problems & my existence. Moving to a different city & changing my number have been heavy on my mind.,Best to talk to a therapist. It's too much for family and friends,"I hear you.... I do. I want to do the same sometimes. But then I watch people and see who they are because I know I have a mental issue and I know my brain lies to me... Look around you.... Some people really do care.

Maybe go to weekly mind meetings in the UK or groups local to you who all feel the same xxx"
This is what I'll be doing on Christmas. I just do not feel well. I just do not have it in me to fight  I've been doing it for 55 years. I'm just worn out. I do hope your Christmas will be better.,Give yourself a break from your negative thoughts. This is the day  the king is born.,Same here. I know how you feel
Bye big hugs blessed be judge me all you want don't care.  After tonight my spouse thinks he's so wonderful well let's me make it real!!,I'm okay but mentally I'm not and I'm done putting up with all this...i will be okay when I disappear not dead just gone!! I've seriously had enough.  Thank you all for caring I do greatly appreciate it more than I can even express!,Are you OK?
I know this may be deemed a silly question but it's in my nature to ask  how is everyone feeling? Let's start a discussion.,Restless. I personally think there's something else going on.,"I agree it's so hard to know what to know what to believe. The media have reputation of skewing the truth by means of escalating small amounts of truth. My best guess is to focus on multi-platform news like LBC radio. This essentially provides a balance view. Anyhow, the more we communicate with each other the better. This also provides the opportunity to gain a balanced view. Let's support each other through this. :)"
"hi Steve, I thought you could use this sometimes 😊",6,5
"As I type this slowly from my hospital bed. I suffer from depression and anxiety for over 26 years. In September I caught a cold. Though it was bronchitis, also during this time my physician has me on thyroid meds I don't need. Which in turns sends me into go get a bunch of tests done. Well quess what thyroid was just fine. This was NNovember15. November 19 I end up in the er. Can't walk, slurred speech, and numbing on my left side of my face. I have the ct scans,labs,mri. They can't find anything, so they just say follow up with your doctor. The soonest I could get in was Dec 8th. My doctor then diagnosed me with viral encephalitis. No test to confirm that was it. Starts me on anti-virus meds, and then weeks later steroids. I bring to January 10th back in er. I look like I had a stroke!!! It's time to do a spinal tap and a full mri!

Guess who's labs came clean and mri. Neurologist told that the depression and anxiety took my brain. It was like the check engine light was flashing, and I didn't see it. So now I have to lean how to walk again,talk,you know the simple things in life. I will never be the same person again. And I have to cope with that. But I hope sharing my story with you all helps someone else that feels lost.",Sounds very much like conversion disorder. I hope you get well soon...,"!!!UPDATE!!!
I am out of the hospital and at home. I have outpatient pt/ot scheduled to help with my symptoms. But at least I am home and I can have my support animals back. Thank you everyone for your kindness and advice. And also thank you for welcoming me to the group!"
"Worried about panic attacks, not sleeping?  Post your questions below.","Hi, I'm a bit worried going back to Tesco's, had a full blown panic attack in there Monday! Now normally I work my way through them & I can normally get it to stop,didn't work this time, staff in there know me & it was embarrassing, sweats,breathing & being able to walk all went, how do I know that isn't going to happen every time I go I there?","& sleeping is just out of the question, struggle the best of times ! Now its impossible ☹️"
"I'm pissed off right now it's unreal, about a few hours ago i posted a meme into one of the groups I'm in its a gen x group i found the meme in my other gen x anyway some1 from the gen x group where I posted the meme called me racist 😡 I'm like wtf 😡 the meme wasn't racist but this person tried to rip into me for being racist which I'm not it's not the first time this has happened and i guess it won't be the last, the last time I was called racist was bk in 2022 these people were talking about race all i said was when i was younger where I lived we had people of colour but now we don't and I went on saying that i miss those days ( nothing racist about that comment ) yet i get called racist what made it worse was the admin and mods and even the members knew it wasn't racist but sided with the person who called me racist ( this was the group bk 2022 ) months later i found out why i was kicked and blocked from the group was because the owner of the group was best friends with the person who called me racist 😡 i don't have a racist bone in body and that's why I'm pissed off 😡","Just put plain jokes online, no connections to anything then. There's different thinking people everywhere",#neurodivergent #philosophy #queer #socialdistancing #neuroscience #mentalhealthawareness #adhdawareness #lgbtq #bpdawareness #gaymen #feminism #autismawareness#gangstalking#targetedindividuals#justice#casemanager#hatespeech text2men on instagram let work
"Just wanted to say you not alone and my inbox is always open if you struggle or just want to vent 
I struggle myself I know how it's feels when you have no one to talk.","I once believed that my beloved spouse was the epitome of perfection. Little did I know, beneath her charismatic facade, she was a master manipulator, distorting reality to satisfy her own selfish desires. Lost and disoriented, I desperately yearnedfor a glimpse of the truth. Then, by chance, I stumbled upon a mysterious expert online. Desperate for answers, I sought out his assistance, and it turned out to be a life-changing revelation! With his unmatched skills, he fearlessly delved into the intricate web of deceit, monitoring my wife's actions through her phone and covertly examining her WhatsApp conversations. That was the moment when my world crumbled. I discovered that my beloved wife had been secretly meeting with young individuals, betraying me without remorse. The anguish I felt was indescribable, amplified by the realization of the abuse and silent suffering I had endured. It was a harsh awakening that left me shattered. But I refuse to let this story end in despair. As a survivor of such treacherous depths, I urge you, esteemed reader, to pay heed to my narrative. Countless individuals find themselves trapped in similar webs of deception, living in the shadows of manipulative narcissists. That is why I wholeheartedly recommend the elusive guru who unraveled my truth. If you too desire to reclaim your reality, don't hesitate to reach out to him. The key to liberation is within your grasp. Connect with him on his Facebook page, 👉 Sift Forensics and embrace the power of truth to break free from the clutches of deception. Your journey towards triumph begins now.","#neurodivergent #philosophy #queer #socialdistancing #neuroscience #mentalhealthawareness #adhdawareness #lgbtq #bpdawareness #gaymen #feminism #ptsd #autismawareness #anxiety
Message text2men on instagram let work together"
I need someone to talk to in a really bad mindset ringhr now.,I'm right there with you!,❤️‍🩹❤️‍🩹❤️‍🩹
Having such a hard time. I'm done.,Be strong. You've made it so far. We're here to support you as well. You've got this ❤️,💕🙏💕
It is good that I have a very good friend and also 1 group in Histon and the other in Cambridge but they don't get back until the 7th and the 8th of next month but it is good that I have a dog as they never let u down,"Dogs are the best!
I have 2
Wouldn’t be without them😁",💯 agree as they are far better than some people
